name;season;number;airdate;runtime;rating;summary
Two Swords;4;1;2014-04-06 21:00;60;8.2;Tyrion welcomes a guest to King's Landing. At Castle Black, Jon Snow finds himself unwelcome. Dany is pointed to Meereen, the mother of all slave cities. Arya runs into an old friend.
The Lion and the Rose;4;2;2014-04-13 21:00;60;9;Tyrion lends Jaime a hand. Joffrey and Margaery host a breakfast. At Dragonstone, Stannis loses patience with Davos. Ramsay finds a purpose for his pet. North of the Wall, Bran sees where they must go.
Breaker of Chains;4;3;2014-04-20 21:00;60;7.8;Tyrion ponders his options. Tywin extends an olive branch. Sam realizes Castle Black isn't safe, and Jon proposes a bold plan. The Hound teaches Arya the way things are. Dany chooses her Champion.
Oathkeeper;4;4;2014-04-27 21:00;60;7.7;Dany balances justice and mercy. Jaime tasks Brienne with his honor. Jon secures volunteers while Bran, Jojen, Meera and Hodor stumble on shelter.
First of His Name;4;5;2014-05-04 21:00;60;7.7;Cersei and Tywin plot the Crown's next move. Dany discusses future plans. Jon embarks on a new mission.
The Laws of Gods and Men;4;6;2014-05-11 21:00;60;8.2;Stannis and Davos set sail with a new strategy. Dany meets with supplicants. Tyrion faces down his father in the throne room.
Mockingbird;4;7;2014-05-18 21:00;60;8.1;Tyrion enlists an unlikely ally. Daario entreats Dany to allow him to do what he does best. Jon's warnings about the Wall's vulnerability fall on deaf ears. Brienne follows a new lead on the road with Pod.
The Mountain and the Viper;4;8;2014-06-01 21:00;60;8.8;Mole's Town receives unexpected visitors. Littlefinger's motives are questioned. Ramsay attempts to prove himself to his father. Tyrion's fate is decided.
The Watchers on the Wall;4;9;2014-06-08 21:00;60;8.6;Jon Snow and the rest of the Night's Watch face the biggest challenge to the Wall yet.
The Children;4;10;2014-06-15 21:00;60;8.1;An unexpected arrival north of the Wall changes circumstances. Dany is forced to face harsh realities. Bran learns more of his destiny. Tyrion sees the truth of his situation.
The Wars to Come;5;1;2015-04-12 21:00;60;7.4;Varys discusses a conspiracy with Tyrion, Daenerys' rule faces a new threat, Jon finds himself between two kings, and Cersei and Jaime try to move on from Tywin's demise.
The House of Black and White;5;2;2015-04-19 21:00;60;7.4;Arya arrives in Braavos, Brienne and Podrick find danger while traveling, Cersei worries about Myrcella in Dorne when Ellaria Sand seeks revenge for Oberyn's death, Jon is tempted by Stannis.
High Sparrow;5;3;2015-04-26 21:00;60;7.4;Cersei meets the High Sparrow after learning of a clergyman's embarrassing tale. Meanwhile, Davos talks to Jon about the future of Winterfell, where Ramsay Snow has just learned the identity of his future bride, Arya grows impatient doing menial tasks in the House of Black and White, and Tyrion searches for more comfortable surroundings on a long trip with Varys.
Sons of the Harpy;5;4;2015-05-03 21:00;60;7.1;Margaery seeks prudent counsel. Jaime Struggles in foreign lands. Dany answers the Harpy's call.
Kill the Boy;5;5;2015-05-10 21:00;60;7.4;Dany makes a difficult decision in Meereen. Jon recruits the help of an unexpected ally. Brienne searches for Sansa. Theon remains under Ramsay's control.
Unbowed, Unbent, Unbroken;5;6;2015-05-17 21:00;60;6.7;Arya trains. Jorah and Tyrion run into slavers. Trystane and Myrcella make plans. Jaime and Bronn reach their destination. The Sand Snakes attack.
The Gift;5;7;2015-05-24 21:00;60;7.7;Jon prepares for conflict. Sansa tries to talk to Theon. Brienne waits for a sign. Stannis remains stubborn. Jaime attempts to reconnect with family.
Hardhome;5;8;2015-05-31 21:00;60;8.7;Arya makes progress in her training. Sansa confronts an old friend. Cersei struggles. Jon travels.
The Dance of Dragons;5;9;2015-06-07 21:00;60;7.6;Stannis confronts a troubling decision. Jon returns to The Wall. Mace visits the Iron Bank. Arya encounters someone from her past. Dany reluctantly oversees a traditional celebration of athleticism.
Mother's Mercy;5;10;2015-06-14 21:00;60;7.6;Cersei seeks forgiveness, Jon faces a new challenge, Arya plots to cross a name off her list, Tyrion sees a familiar face, and Daenerys finds herself surrounded by strangers.
The Red Woman;6;1;2016-04-24 21:00;60;7.2;Jon Snow is dead. Daenerys meets a strong man. Cersei sees her daughter again.
Home;6;2;2016-05-01 21:00;60;7.6;Bran trains with the Three-Eyed Raven. In King's Landing, Jaime advises Tommen. Tyrion demands good news, but has to make his own. At Castle Black, the Night's Watch stands behind Thorne. Ramsay Bolton proposes a plan, and Balon Greyjoy entertains other proposals.
Oathbreaker;6;3;2016-05-08 21:00;60;7.3;Daenerys meets her future. Bran meets the past. Tommen confronts the High Sparrow. Arya trains to be No One. Varys finds an answer. Ramsay gets a gift.
Book of the Stranger;6;4;2016-05-15 21:00;60;7.7;Tyrion strikes a deal. Jorah and Daario undertake a difficult task. Jaime and Cersei try to improve their situation.
The Door;6;5;2016-05-22 21:00;60;7.8;Tyrion seeks a strange ally. Bran learns a great deal. Brienne goes on a mission. Arya is given a chance to prove herself.
Blood of My Blood;6;6;2016-05-29 21:00;60;7.3;An old foe comes back into the picture. Gilly meets Sam's family. Arya faces a difficult choice. Jaime faces off against the High Sparrow.
The Broken Man;6;7;2016-06-05 21:00;60;7.3;The High Sparrow eyes another target. Jaime confronts a hero. Arya makes a plan. The North is reminded.
No One;6;8;2016-06-12 21:00;60;7;Jaime encounters a hero, the High Sparrow fixates on another prey, Arya hatches a new plan, Yara and Theon plot their next move, Olenna and Cersei discuss their families' futures.While Jaime weighs his options, Cersei answers a request. Tyrion's plans bear fruit. Arya faces a new test.
Battle of the Bastards;6;9;2016-06-19 21:00;60;8.2;Ramsay surprises his audience. Jon retaliates. Dany is true to her word.
The Winds of Winter;6;10;2016-06-26 21:00;69;8.8;Alliances are made, the High Sparrow is holding trials at King's Landing, Daenerys is sailing for the Seven Kingdoms and a new King of the North is crowned.
Dragonstone;7;1;2017-07-16 21:00;60;7;Jon organizes the defense of the North. Cersei tries to even the odds. Daenerys comes home.
Stormborn;7;2;2017-07-23 21:00;60;7.3;Daenerys receives an unexpected visitor. Jon faces a revolt. Tyrion plans the conquest of Westeros.
The Queen's Justice;7;3;2017-07-30 21:00;60;7.6;Daenerys holds court. Cersei returns a gift. Jaime learns from his mistakes.
The Spoils of War;7;4;2017-08-06 21:00;60;8;Arya gets to the final destination. Daenerys takes it upon herself to strike back.
Eastwatch;7;5;2017-08-13 21:00;60;7.5;Daenerys demands loyalty from the surviving Lannister soldiers, Jon heeds Bran's warning about White Walkers on the move, Cersei vows to vanquish anyone or anything that stands in her way.
Beyond the Wall;7;6;2017-08-20 21:00;60;8;Jon's mission continues north of the wall, but the odds against his ragged band of misfits may be greater than he imagined.
The Dragon and the Wolf;7;7;2017-08-27 21:00;60;8.1;Cersei sits on the Iron Throne, Daenerys sails across the Narrow Sea, Jon Snow is King in the North, and winter is finally here.
Winterfell;8;1;2019-04-14 21:00;60;6.9;Arriving at Winterfell, Jon and Daenerys struggle to unite a divided North. Jon gets some big news.
A Knight of the Seven Kingdoms;8;2;2019-04-21 21:00;60;7;Jaime faces judgement and Winterfell prepares for the battle to come.
The Long Night;8;3;2019-04-28 21:00;90;7.2;Winterfell fights the Army of the Dead.
The Last of the Starks;8;4;2019-05-05 21:00;78;6.1;The survivors plan their next steps, Cersei makes a power move.
The Bells;8;5;2019-05-12 21:00;79;6.2;Varys betrays his queen, and Daenerys brings her forces to King's Landing.
The Iron Throne;8;6;2019-05-19 21:00;80;5.3;In the aftermath of the devastating attack on King's Landing, Daenerys must face the survivors.
